DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
46,31,3,48
210,8,3,213
309,281,161,470
483,90,64,546
246,746,670,916
348,679,650,998
487,451,436,923
351,279,262,612
292,0,0,292
344,172,92,435
199,252,116,315
70,4,0,71
3,2,0,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
14,0,0,14
74,0,0,74
210,0,0,210
130,0,0,130
69,0,0,69
64,0,0,64
149,0,0,149
296,4,4,299
469,2,2,471
336,145,77,413
242,73,39,281
81,58,10,91
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
26,0,0,26
154,60,26,180
298,253,135,434
494,84,64,558
461,8,7,468
423,0,0,423
288,0,0,288
429,0,0,429
428,1,1,429
384,112,67,451
223,25,13,236
78,0,0,78
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
33,64,12,46
143,356,133,276
238,513,280,518
240,691,529,769
316,491,425,742
540,0,0,540
431,0,0,431
178,0,0,178
123,0,0,123
125,0,0,125
141,0,0,141
35,0,0,35
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16,0,0,16
109,0,0,109
319,64,42,361
399,324,238,636
554,3,3,558
562,232,225,787
431,156,150,581
554,76,73,627
224,0,0,224
230,0,0,230
153,0,0,153
58,0,0,58
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
23,0,0,23
103,0,0,103
308,1,1,309
439,53,39,478
583,20,19,602
520,54,52,572
236,4,3,239
475,221,206,680
460,244,190,650
302,392,246,548
216,256,97,313
65,66,20,85
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
